date,TU precip,,,TU precip
15/09/2015,3.18113,,2015.666667,3.18113
15/10/2015,3.64323,,2015.75,3.64323
15/11/2015,2.16287,,2015.833333,2.16287
15/12/2015,2.4902,,2015.916667,2.4902
15/01/2016,2.5405,,2016,2.5405
15/02/2016,3.8591,,2016.083333,3.8591
15/03/2016,4.06718,,2016.166667,4.06718
15/04/2016,4.24432,,2016.25,4.24432
15/05/2016,5.60456,,2016.333333,5.60456
15/06/2016,6.12885,,2016.416667,6.12885
15/07/2016,5.66069,,2016.5,5.66069
15/08/2016,5.02591,,2016.583333,5.02591
15/09/2016,4.70375,,2016.666667,4.70375
15/10/2016,3.5666,,2016.75,3.5666
15/11/2016,2.77035,,2016.833333,2.77035
15/12/2016,3.72511,,2016.916667,3.72511
15/01/2017,2.91226,,2017,2.91226
15/02/2017,2.61719,,2017.083333,2.61719
15/03/2017,3.96575,,2017.166667,3.96575
15/04/2017,5.01759,,2017.25,5.01759
15/05/2017,5.29625,,2017.333333,5.29625
15/06/2017,5.58247,,2017.416667,5.58247
15/07/2017,5.16284,,2017.5,5.16284
15/08/2017,4.8049,,2017.583333,4.8049
15/09/2017,4.67783,,2017.666667,4.67783
15/10/2017,2.95924,,2017.75,2.95924
15/11/2017,2.70567,,2017.833333,2.70567
15/12/2017,2.76663,,2017.916667,2.76663
15/01/2018,2.33216,,2018,2.33216
15/02/2018,3.90192,,2018.083333,3.90192
15/03/2018,3.39272,,2018.166667,3.39272
15/04/2018,4.14944,,2018.25,4.14944
15/05/2018,7.71271,,2018.333333,7.71271
15/06/2018,7.07063,,2018.416667,7.07063
15/07/2018,6.91435,,2018.5,6.91435
15/08/2018,6.49317,,2018.583333,6.49317
15/09/2018,5.24223,,2018.666667,5.24223
15/10/2018,3.41381,,2018.75,3.41381
15/11/2018,2.88394,,2018.833333,2.88394
15/12/2018,2.39154,,2018.916667,2.39154
